name,when_to_use,how_to_use,side_effects,age_limit
atorvastatin,Used to lower cholesterol levels and reduce risk of heart disease and stroke.,"Taken once daily, usually in the evening, with or without food. Long-term use requires regular medical check-ups.","Muscle pain, weakness, mild digestive problems. Rarely liver issues.",Prescribed for adults above 18 years.
losartan,Used to treat high blood pressure and protect kidneys in diabetic patients.,"Taken once daily at the same time each day, with or without food. Regular blood pressure monitoring is required.","Dizziness, low blood pressure, high potassium levels.",Generally prescribed for adults above 18 years.
salbutamol tablet,"Used to relieve breathing problems such as asthma, bronchitis, and airway obstruction by relaxing airway muscles.",Usually taken 2–4 mg up to three times daily as directed by a doctor.,"Tremors, fast heartbeat, nervousness, headache.",Can be used in children and adults under prescription with proper dose adjustment.
amlodipine,Used to treat high blood pressure (hypertension) and chest pain (angina). It helps relax blood vessels and improve blood flow.,"Usually taken once daily with or without food, at the same time each day. Dose depends on medical condition.","Swelling of ankles, dizziness, flushing, fatigue.",Prescribed for adults above 18 years.
clopidogrel,Used to prevent blood clots in patients at risk of heart attack or stroke.,"Taken once daily with water, with or without food. Should be taken regularly as prescribed.","Increased bleeding, bruising, stomach upset.",Adults above 18 years under prescription.
montelukast,Used to prevent asthma symptoms and relieve allergy-related breathing problems.,"Usually taken once daily in the evening, with or without food.","Headache, abdominal pain, mood changes (rare).",Suitable for children above 6 years and adults.
domperidone,"Used to relieve nausea, vomiting, and bloating by improving stomach movement.","Taken 15–30 minutes before meals, usually 1–3 times daily.","Dry mouth, dizziness, irregular heartbeat (rare).",Generally for individuals above 12 years.
prednisolone,"Used to reduce inflammation in conditions like asthma, arthritis, skin disorders, and allergies.",Dose varies widely; taken after food to reduce stomach irritation. Must not be stopped suddenly.,"Weight gain, mood changes, high blood sugar, weakened immunity.",Prescribed for children and adults under strict medical supervision.
hydrochlorothiazide,Used to treat high blood pressure and fluid retention (edema).,Taken once daily in the morning to avoid nighttime urination.,"Frequent urination, dizziness, low potassium levels.",Adults above 18 years.
gabapentin,Used to treat nerve pain and seizures.,Usually started at a low dose and gradually increased. Taken with or without food.,"Drowsiness, dizziness, coordination problems.",Adults and children above 6 years under prescription.
tramadol,Used to relieve moderate to severe pain after injury or surgery.,Taken every 4–6 hours as prescribed. Should not exceed recommended dosage.,"Nausea, dizziness, constipation, risk of dependence.",Adults above 18 years only.
ciprofloxacin,"Used to treat bacterial infections such as urinary, respiratory, and gastrointestinal infections.",Usually taken twice daily with plenty of water. Avoid dairy products at the same time.,"Nausea, diarrhea, tendon pain (rare but serious).",Adults above 18 years; limited use in children.
fluconazole,Used to treat fungal infections like oral thrush and vaginal infections.,Often taken as a single dose or daily as prescribed. Can be taken with or without food.,"Headache, stomach pain, nausea, liver issues (rare).",Suitable for adults and children with prescription.
warfarin,Used to prevent and treat blood clots in veins and heart conditions.,Taken once daily at the same time. Requires regular blood tests (INR monitoring).,"Bleeding risk, bruising, nausea.",Adults above 18 years under strict supervision.
insulin tablet,Used to lower blood sugar levels in Type 2 Diabetes.,Usually taken once daily before breakfast or as directed.,"Low blood sugar, weight gain, dizziness.",Adults above 18 years.
alprazolam,Used to treat anxiety and panic disorders.,Taken 0.25–0.5 mg as prescribed. Should not be stopped suddenly.,"Drowsiness, dependency risk, confusion.",Adults above 18 years only.
escitalopram,Used to treat depression and anxiety disorders.,"Taken once daily, usually in the morning or evening.","Nausea, sleep disturbance, sexual dysfunction.",Adults above 18 years.
metoprolol,"Used to treat high blood pressure, chest pain, and heart rhythm disorders.",Taken once or twice daily with meals.,"Slow heart rate, fatigue, dizziness.",Adults above 18 years.
loratadine,Used for allergy symptoms such as sneezing and itchy eyes.,"10 mg once daily, with or without food.","Headache, dry mouth, mild drowsiness.",Above 6 years.
tamsulosin,Used to treat urinary problems due to enlarged prostate in men.,Taken once daily after the same meal each day.,"Dizziness, low blood pressure, ejaculation issues.",Adult men only (usually above 40 years).
allopurinol,Used to prevent gout attacks by reducing uric acid levels.,Taken once daily after meals with plenty of water.,"Skin rash, nausea, rare severe allergic reaction.",Adults above 18 years.
baclofen,Used to relieve muscle stiffness and spasms.,Usually taken 2–3 times daily as prescribed. Dose gradually adjusted.,"Drowsiness, weakness, dizziness.",Adults and children above 12 years under supervision.
clarithromycin,Used to treat bacterial infections such as respiratory and skin infections.,Taken twice daily for 7–14 days as prescribed.,"Nausea, diarrhea, taste changes, heart rhythm issues (rare).",Children and adults with prescription.
